adl_id,city,state,date,Type,Nature,Perpetrator,Target,Location,cityID
5336,Tuscumbia,AL,2018-12-04,Literature Dump,General Antisemitism,Not Specified,Not Specified,In School,al-tuscumbia
2717,Birmingham,AL,2017-02-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,al-birmingham
6624,Mountain Brook,AL,2018-10-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,al-mountain brook
6624,Mountain Brook,AL,2018-10-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,al-mountain brook
9597,Mountain Brook,AL,2019-03-01,Harassment,General Antisemitism,Student,Student,In School,al-mountain brook
5580,Grand Bay,AL,2018-01-01,Vandalism,Nazi,Not Specified,Not Specified,In School,al-grand bay
1625,Mobile,AL,2016-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,al-mobile
2717,Birmingham,AL,2017-02-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,al-birmingham
2720,Little Rock,AR,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ar-little rock
2720,Little Rock,AR,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ar-little rock
5655,Danville,AR,2018-02-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ar-danville
9598,Gilbert,AZ,2019-03-11,Literature Dump,Nazi,Outsider,Not Specified,In School,az-gilbert
6579,Glendale,AZ,2018-10-01,Harassment,Nazi,Student,Student,Not Specified,az-glendale
6493,Glendale,AZ,2018-10-01,Harassment,General Antisemitism,Teacher,Student,In School,az-glendale
986,Goodyear,AZ,2016-08-01,Harassment,General Antisemitism,Student,Student,Not Specified,az-goodyear
9491,Mesa,AZ,2019-01-29,Literature Dump,General Antisemitism,Outsider,Not Specified,In School,az-mesa
9491,Mesa,AZ,2019-01-29,Literature Dump,Nazi,Outsider,Not Specified,In School,az-mesa
2725,Paradise Valley,AZ,2017-02-01,Vandalism,Nazi,Not Specified,Not Specified,In School,az-paradise valley
2729,Paradise Valley,AZ,2017-02-01,Harassment,Nazi,Student,Not Specified,In School,az-paradise valley
2729,Paradise Valley,AZ,2017-02-01,Performance,Nazi,Student,Not Specified,In School,az-paradise valley
5609,Paradise Valley,AZ,2018-02-01,Performance,Nazi,Student,Not Specified,Not Specified,az-paradise valley
5521,Peoria,AZ,2018-01-01,Harassment,General Antisemitism,Student,Student,In School,az-peoria
2736,Phoenix,AZ,2017-03-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,az-phoenix
2736,Phoenix,AZ,2017-03-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,az-phoenix
2732,Phoenix,AZ,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,az-phoenix
7065,Phoenix,AZ,2018-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,az-phoenix
2728,Scottsdale,AZ,2017-02-01,Vandalism,Nazi,Student,Not Specified,In School,az-scottsdale
7024,Scottsdale,AZ,2018-12-01,Harassment,General Antisemitism,Student,Student,In School,az-scottsdale
6390,Bullhead City,AZ,2018-09-01,Harassment,General Antisemitism,Student,Student,Not Specified,az-bullhead city
2726,Tucson,AZ,2017-02-01,Harassment,Nazi,Student,Student,Not Specified,az-tucson
2745,Tucson,AZ,2017-10-01,Harassment,General Antisemitism,Student,Student,In School,az-tucson
11958,Tucson,AZ,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,az-tucson
11958,Tucson,AZ,2019-09-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,az-tucson
2739,Vail,AZ,2017-05-01,Harassment,General Antisemitism,Student,Student,In School,az-vail
1501,Maricopa,AZ,2016-03-01,Harassment,General Antisemitism,Student,Student,Not Specified,az-maricopa
2757,Alameda,CA,2017-01-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-alameda
2757,Alameda,CA,2017-01-01,Harassment,Nazi,Student,Student,Not Specified,ca-alameda
2757,Alameda,CA,2017-01-01,Harassment,Israel,Student,Student,Not Specified,ca-alameda
2893,Alameda,CA,2017-05-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-alameda
2893,Alameda,CA,2017-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-alameda
2893,Alameda,CA,2017-05-01,Vandalism,Money,Not Specified,Not Specified,In School,ca-alameda
2914,Alameda,CA,2017-06-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-alameda
6143,Alameda,CA,2018-06-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-alameda
2840,Albany,CA,2017-03-01,Harassment,General Antisemitism,Student,Teacher,In School,ca-albany
2840,Albany,CA,2017-03-01,Vandalism,Nazi,Student,Teacher,In School,ca-albany
5614,Albany,CA,2018-02-01,Harassment,General Antisemitism,Student,Not Specified,In School,ca-albany
5614,Albany,CA,2018-02-01,Literature Dump,Nazi,Student,Not Specified,In School,ca-albany
5614,Albany,CA,2018-02-01,Cyberbullying,Nazi,Student,Not Specified,In School,ca-albany
5614,Albany,CA,2018-02-01,Vandalism,Nazi,Student,Not Specified,In School,ca-albany
2962,Berkeley,CA,2017-09-01,Cyberbullying,General Antisemitism,Student,Not Specified,Social Media,ca-berkeley
2962,Berkeley,CA,2017-09-01,Cyberbullying,Oppression Connection,Student,Not Specified,Social Media,ca-berkeley
4823,Berkeley,CA,2018-10-08,Literature Dump,General Antisemitism,Outsider,Not Specified,In School,ca-berkeley
940,Fremont,CA,2016-12-01,Harassment,Nazi,Not Specified,Student,Publication,ca-fremont
2904,Fremont,CA,2017-06-01,Vandalism,General Antisemitism,Student,Not Specified,In School,ca-fremont
2904,Fremont,CA,2017-06-01,Vandalism,Nazi,Student,Not Specified,In School,ca-fremont
1804,Oakland,CA,2016-12-01,Harassment,Holocaust Denial,Teacher,Not Specified,In School,ca-oakland
1804,Oakland,CA,2016-12-01,Harassment,Conspiracy,Teacher,Not Specified,In School,ca-oakland
5912,Piedmont,CA,2018-05-01,Harassment,General Antisemitism,Not Specified,Not Specified,Social Media,ca-piedmont
9976,Piedmont,CA,2019-10-01,Cyberbullying,General Antisemitism,Student,Not Specified,Social Media,ca-piedmont
9976,Piedmont,CA,2019-10-01,Cyberbullying,Nazi,Student,Not Specified,Social Media,ca-piedmont
9976,Piedmont,CA,2019-10-01,Cyberbullying,Money,Student,Not Specified,Social Media,ca-piedmont
5938,San Lorenzo,CA,2018-05-01,Harassment,General Antisemitism,Teacher,Student,In School,ca-san lorenzo
2997,San Francisco,CA,2017-11-01,Vandalism,Nazi,Student,Not Specified,In School,ca-san francisco
2996,San Francisco,CA,2017-11-01,Vandalism,Nazi,Student,Teacher,In School,ca-san francisco
2990,San Francisco,CA,2017-11-01,Harassment,General Antisemitism,Student,Student,School Event,ca-san francisco
12145,San Francisco,CA,2019-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-san francisco
2995,Alamo,CA,2017-11-01,Harassment,General Antisemitism,Student,Student,In School,ca-alamo
696,Danville,CA,2016-03-01,Harassment,General Antisemitism,Student,Student,In School,ca-danville
6763,El Cerrito,CA,2018-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-el cerrito
6763,El Cerrito,CA,2018-11-01,Harassment,Money,Student,Student,Not Specified,ca-el cerrito
1223,Lafayette,CA,2016-04-01,Harassment,Nazi,Student,Student,Not Specified,ca-lafayette
113,Lafayette,CA,2016-09-01,Literature Dump,General Antisemitism,Not Specified,Not Specified,Off-Campus,ca-lafayette
2958,Moraga,CA,2017-09-01,Vandalism,Nazi,Student,Not Specified,School Grounds,ca-moraga
1854,Orinda,CA,2016-09-01,Harassment,Nazi,Student,Not Specified,Social Media,ca-orinda
2539,Walnut Creek,CA,2016-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-walnut creek
2974,Walnut Creek,CA,2017-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-walnut creek
6222,Walnut Creek,CA,2018-07-01,Harassment,Nazi,Student,Student,Not Specified,ca-walnut creek
10402,Agoura Hills,CA,2019-08-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-agoura hills
47,Altadena,CA,2016-12-01,Harassment,Nazi,Student,Student,Not Specified,ca-altadena
6035,Azusa,CA,2018-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-azusa
6049,Beverly Hills,CA,2018-05-01,Vandalism,Nazi,Not Specified,School,School Grounds,ca-beverly hills
2851,Burbank,CA,2017-03-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-burbank
2884,Calabasas,CA,2017-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-calabasas
6065,Calabasas,CA,2018-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-calabasas
440,Calabasas,CA,2018-06-03,Literature Dump,General Antisemitism,Not Specified,School,In School,ca-calabasas
6618,Calabasas,CA,2018-10-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-calabasas
9611,Calabasas,CA,2019-03-01,Literature Dump,General Antisemitism,Not Specified,Not Specified,In School,ca-calabasas
9611,Calabasas,CA,2019-03-01,Literature Dump,Nazi,Not Specified,Not Specified,In School,ca-calabasas
9611,Calabasas,CA,2019-03-01,Literature Dump,Israel,Not Specified,Not Specified,In School,ca-calabasas
9611,Calabasas,CA,2019-03-01,Literature Dump,Conspiracy,Not Specified,Not Specified,In School,ca-calabasas
1332,Long Beach,CA,2016-05-01,Harassment,Nazi,Not Specified,Not Specified,In School,ca-long beach
1332,Long Beach,CA,2016-05-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,ca-long beach
1333,Long Beach,CA,2016-08-01,Performance,Nazi,Teacher,Not Specified,In School,ca-long beach
1334,Long Beach,CA,2016-09-01,Harassment,General Antisemitism,Student,Student,Social Media,ca-long beach
1334,Long Beach,CA,2016-09-01,Harassment,General Antisemitism,Student,Student,In School,ca-long beach
1335,Long Beach,CA,2016-11-01,Harassment,Nazi,Student,Student,In School,ca-long beach
2964,Long Beach,CA,2017-09-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-long beach
2813,Los Angeles,CA,2017-02-01,Harassment,General Antisemitism,Outsider,School,School Grounds,ca-los angeles
