cityID,kmed_13,diversity_index,pop_category,median_income,political_scale,state_pop,hg_local_per,hg_state_per,sundown_scale,region_scale,jewish_infrastructure,community_interaction
mi-birmingham,1,0.204818,3,122804,-2.9486964242803007,9986857,0,6.007896177946675e-7,0.6451612903225806,2.3,53.54983040833036,1.2
oh-lakewood,1,0.295734,3,53290,-2.302994551194589,11689100,0,6.843982855822946e-7,0.6451612903225806,2.3,55.75399744504392,1.1
or-lake oswego,1,0.305126,3,108927,-3.602226734270685,4217737,0,1.6596577738251579e-6,0.6451612903225806,4.9,17.347833924172324,1.2
il-orland park,1,0.314434,4,90345,-2.7708730312301517,12671821,0,3.945762807097733e-7,0.6451612903225806,2.3,61.95935406147638,1.2
ma-marblehead,1,0.158314,3,123333,-2.224935078050274,6892503,0,8.705110465675532e-7,0.6774193548387096,1.1,25.93095702458015,1.2
ca-lafayette,1,0.41976,3,178889,-3.6216505424670737,39512223,0,3.7962936178002436e-7,0.7096774193548387,4.9,2.7907825928196033,1.2
fl-palm beach,1,0.134908,2,141348,-1.7218406484358004,21477737,0,7.449574412797773e-7,0.7096774193548387,3.5,157.49279412843444,1.2
ca-piedmont,1,0.451967,3,224659,-3.127940330849796,39512223,0,3.7962936178002436e-7,0.7096774193548387,4.9,3.0553417332982153,1.2
nj-fair lawn,1,0.453455,3,123159,-2.6133630828835868,8882190,0,1.2384333143064942e-6,0.7096774193548387,1.2,106.75867841296821,1.2
ma-longmeadow,1,0.256111,3,122035,-2.529828779176814,6892503,0,8.705110465675532e-7,0.7419354838709677,1.1,7.015216642644864,2.2
ct-westport,1,0.249787,3,206466,-4.133256866448427,3565287,0,1.4024116431580404e-6,0.7419354838709677,1.1,5.472424384656869,2.2
ut-bluffdale,1,0.210923,3,116454,8.78896500122158,3205958,0,9.357577360651636e-7,0.7419354838709677,4.8,3.747940584730786,1.2
pa-levittown,1,0.239994,4,81107,-1.9143545838169551,12801989,0,9.373543439226514e-7,0.7419354838709677,1.2,65.90310333574766,1.2
ct-southington,1,0.176098,3,94463,-3.29940602691983,3565287,0,1.4024116431580404e-6,0.7419354838709677,1.1,3.674259015096948,1.2
wi-milton,1,0.087247,2,67523,-3.958551162745255,5822434,0,1.202246345772232e-6,0.7419354838709677,2.3,0.36780707293001247,3.2
ma-quincy,1,0.556458,4,77562,-3.0638250286065354,6892503,0,8.705110465675532e-7,0.7419354838709677,1.1,154.3831196447912,1.1
in-zionsville,1,0.2092,3,137377,5.419644611494892,6732219,0,1.336854906235225e-6,0.7741935483870968,2.3,1.8179375811579277,1.2
ca-newport beach,1,0.351948,4,127223,5.163649729509029,39512223,1.1829559703787825e-5,3.7962936178002436e-7,0.7741935483870968,4.9,2.621652194874525,1.2
az-scottsdale,1,0.341056,6,88213,2.127159830919461,7278717,3.874932673044806e-6,8.243210994465096e-7,0.8064516129032258,4.8,2.027965749710258,1.2
ct-ridgefield,1,0.20559,3,133647,-4.133256866448427,3565287,0,1.4024116431580404e-6,0.8064516129032258,1.1,5.472424384656869,2.2
ma-dedham,1,0.381686,3,100757,-3.0638250286065354,6892503,0,8.705110465675532e-7,0.8064516129032258,1.1,154.3831196447912,1.2
il-wilmette,1,0.335347,3,164681,-2.7708730312301517,12671821,0,3.945762807097733e-7,0.8064516129032258,2.3,61.95935406147638,1.2
ny-pleasantville,1,0.449288,2,128958,-2.7959028813827795,19453561,0,5.140447036920387e-7,0.8064516129032258,1.2,126.58999681690592,1.2
ct-glastonbury,1,0.303848,3,120837,-3.29940602691983,3565287,0,1.4024116431580404e-6,0.8064516129032258,1.1,3.674259015096948,1.2
ca-la jolla,1,0.356856,3,109194,-4.26092801528769,39512223,0,3.7962936178002436e-7,0.8709677419354839,4.9,2.401772585934406,1.1
oh-chagrin falls,1,0.055013,2,101691,-2.302994551194589,11689100,0,6.843982855822946e-7,0.9354838709677419,2.3,55.75399744504392,1.2
il-oak park,1,0.549067,4,94646,-2.7708730312301517,12671821,0,3.945762807097733e-7,1,2.3,61.95935406147638,1.1
ct-darien,1,0.205372,3,232523,-4.133256866448427,3565287,0,1.4024116431580404e-6,1,1.1,5.472424384656869,2.2
