adl_id,date,city,state,description
10951,12/31/19,Eagleswood Township,NJ,"New Jersey European Heritage Association, an alt right group, distributed propaganda."
12287,12/28/19,New Bern,NC,"A man trespassed Temple B'nai Sholem and put a sticker on the door which read, ""IT'S OKAY TO BE WHITE."""
12256,12/23/19,Somerville,NJ,"Daily Stormer Book Club, an alt right group, left anti-immigrant fliers in the free lending library of a Jewish organization."
11066,12/21/19,West Memphis,AR,"New Jersey European Heritage Association, an alt right group, distributed propaganda that read: ""Nationalism is nature,"" ""Stand your ground,"" ""No more wars for Israel,"" and ""Diversity means no white neighborhoods."""
11102,12/18/19,West Orange,NJ,"New Jersey European Heritage Association, an alt right group, distributed propaganda that read: ""Deport all 20 million illegal aliens,"" ""This is our land,"" ""Defend our borders,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
11106,12/16/19,Olean,NY,"An unknown person or group painted swastikas and AWD, the acronym for Atomwaffen Division, on a U.S. military recruitment office and the Olean Public Library."
11250,12/16/19,Richmond,VA,Members of the alt right Patriot Front held a flash demonstration outside the Virginia Israel Advisory Board.
11121,12/15/19,South Orange Village,NJ,"New Jersey European Heritage Association, an alt right group, distributed fliers with the QR code for New Jersey European Heritage Association and propaganda that read: ""America belongs to Americans,"" ""Reclaim America,"" ""Reclaim your nation reclaim your heritage,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
11123,12/14/19,Conshohocken,PA,"New Jersey European Heritage Association, an alt right group, distributed propaganda that read: ""Deport illegal aliens they are criminal invaders,"" ""Reclaim your nation reclaim your heritage,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
11126,12/14/19,Philadelphia,PA,"New Jersey European Heritage Association, an alt right group, distributed propaganda in the Roxborough neighborhood that read: ""Deport illegal aliens they are criminal invaders,"" ""Remember the USS Liberty 1967 Israeli attack against America,"" and ""Reclaim your nation reclaim your heritage."""
11251,12/10/19,Jersey City,NJ,"David Anderson and Francine Graham, apparent adherents of the Black Hebrew Israelite movement, embarked upon a shooting spree and shootout with police that left one police officer and three civilians dead, as well as the perpetrators. The attack is under investigation but may be motivated by anti-police and anti-Semitic animus. The two are also suspects in a separate murder that occurred days before the attack."
