city,county,state,fips_county,date
burlingame,San Mateo,CA,06081,2016-01-01
cairo,Grady,GA,13131,2016-01-01
fort lauderdale,Broward,FL,12011,2016-01-01
hanover,Morris,NJ,34027,2016-01-01
daytona beach,Volusia,FL,12127,2016-01-01
madison,Dane,WI,55025,2016-01-01
maitland,Orange,FL,12095,2016-01-01
marblehead,Essex,MA,25009,2016-01-01
natick,Middlesex,MA,25017,2016-01-01
orlando,Orange,FL,12095,2016-01-01
palm beach gardens,Palm Beach,FL,12099,2016-01-01
ponte vedra beach,St. Johns,FL,12109,2016-01-01
reading,Berks,PA,42011,2016-01-01
alpharetta,Fulton,GA,13121,2016-02-01
burlington,Chittenden,VT,50007,2016-02-01
kendall,Miami-Dade,FL,12086,2016-02-01
new brunswick,Middlesex,NJ,34023,2016-02-01
newton,Middlesex,MA,25017,2016-02-01
north canton,Stark,OH,39151,2016-02-01
boca raton,Palm Beach,FL,12099,2016-02-01
st. louis,St. Louis,MO,29189,2016-02-01
west palm beach,Palm Beach,FL,12099,2016-02-01
wynnewood,Montgomery,PA,42091,2016-02-01
arlington,Middlesex,MA,25017,2016-03-01
boston,Suffolk,MA,25025,2016-03-01
danville,Contra Costa,CA,06013,2016-03-01
framingham,Middlesex,MA,25017,2016-03-01
glassboro,Gloucester,NJ,34015,2016-03-01
houston,Harris,TX,48201,2016-03-01
johns creek,Fulton,GA,13121,2016-03-01
jupiter,Palm Beach,FL,12099,2016-03-01
kissimmee,Osceola,FL,12097,2016-03-01
l'anse creuse,Macomb,MI,26099,2016-03-01
loxahatchee,Palm Beach,FL,12099,2016-03-01
maricopa,Pinal,AZ,04021,2016-03-01
marlborough,Middlesex,MA,25017,2016-03-01
newton,Middlesex,MA,25017,2016-03-01
brooklyn,Kings,NY,36047,2016-03-01
reading,Berks,PA,42011,2016-03-01
summerville,Berkeley,SC,45015,2016-03-01
albuquerque,Bernalillo,NM,35001,2016-04-01
arvada,Jefferson,CO,08059,2016-04-01
bergenfield,Bergen,NJ,34003,2016-04-01
boca raton,Palm Beach,FL,12099,2016-04-01
bradenton,Manatee,FL,12081,2016-04-01
cairo,Grady,GA,13131,2016-04-01
cutler bay,Miami-Dade,FL,12086,2016-04-01
deer park,Suffolk,NY,36103,2016-04-01
east rutherford,Bergen,NJ,34003,2016-04-01
holbrook,Suffolk,NY,36103,2016-04-01
holmdel,Monmouth,NJ,34025,2016-04-01
jacksonville,Duval,FL,12031,2016-04-01
lafayette,Contra Costa,CA,06013,2016-04-01
manchester,Hillsborough,NH,33011,2016-04-01
marblehead,Essex,MA,25009,2016-04-01
mountain view,Santa Clara,CA,06085,2016-04-01
newton,Middlesex,MA,25017,2016-04-01
upton,Worcester,MA,25027,2016-04-01
northridge,Los Angeles,CA,06037,2016-04-01
palm beach gardens,Palm Beach,FL,12099,2016-04-01
st. louis,St. Louis,MO,29189,2016-04-01
university heights,Cuyahoga,OH,39035,2016-04-01
weston,Broward,FL,12011,2016-04-01
wixom,Oakland,MI,26125,2016-04-01
allendale,Bergen,NJ,34003,2016-05-01
austin,Travis,TX,48453,2016-05-01
brooklyn,Kings,NY,36047,2016-05-01
cape coral,Lee,FL,12071,2016-05-01
chicago,Cook,IL,17031,2016-05-01
east rutherford,Bergen,NJ,34003,2016-05-01
erie,Weld,CO,08123,2016-05-01
georgetown,Essex,MA,25009,2016-05-01
glendale,Milwaukee,WI,55079,2016-05-01
greenwood village,Arapahoe,CO,08005,2016-05-01
howell,Monmouth,NJ,34025,2016-05-01
johns creek,Fulton,GA,13121,2016-05-01
long beach,Los Angeles,CA,06037,2016-05-01
miami,Miami-Dade,FL,12086,2016-05-01
mobile,Mobile,AL,01097,2016-05-01
montrose,Susquehanna,PA,42115,2016-05-01
new rochelle,Westchester,NY,36119,2016-05-01
newbury park,Ventura,CA,06111,2016-05-01
newton,Middlesex,MA,25017,2016-05-01
north brunswick,Middlesex,NJ,34023,2016-05-01
rosemount,Dakota,MN,27037,2016-05-01
round rock,Williamson,TX,48491,2016-05-01
winthrop,Suffolk,MA,25025,2016-05-01
brooklyn,Kings,NY,36047,2016-06-01
brick,Ocean,NJ,34029,2016-06-01
longmeadow,Hampden,MA,25013,2016-06-01
lower merion,Montgomery,PA,42091,2016-06-01
marblehead,Essex,MA,25009,2016-06-01
ocean,Ocean,NJ,34029,2016-06-01
olympia,Thurston,WA,53067,2016-06-01
pembroke,Plymouth,MA,25023,2016-06-01
warrington,Bucks,PA,42017,2016-06-01
westborough,Worcester,MA,25027,2016-06-01
woodbridge,New Haven,CT,09009,2016-06-01
lakewood,Ocean,NJ,34029,2016-07-01
new brunswick,Middlesex,NJ,34023,2016-07-01
san marcos,San Diego,CA,06073,2016-07-01
brooklyn,Kings,NY,36047,2016-08-01
goodyear,Maricopa,AZ,04013,2016-08-01
lakewood,Ocean,NJ,34029,2016-08-01
long beach,Los Angeles,CA,06037,2016-08-01
milwaukee,Milwaukee,WI,55079,2016-08-01
port chester,Westchester,NY,36119,2016-08-01
san diego,San Diego,CA,06073,2016-08-01
lafayette,Contra Costa,CA,06013,2016-09-01
boca raton,Palm Beach,FL,12099,2016-09-01
boston,Suffolk,MA,25025,2016-09-01
boulder,Boulder,CO,08013,2016-09-01
collingswood,Camden,NJ,34007,2016-09-01
east brunswick,Middlesex,NJ,34023,2016-09-01
long beach,Los Angeles,CA,06037,2016-09-01
orinda,Contra Costa,CA,06013,2016-09-01
st. louis,St. Louis,MO,29189,2016-09-01
swarthmore,Delaware,PA,42045,2016-09-01
alpharetta,Fulton,GA,13121,2016-10-01
atlanta,Fulton,GA,13121,2016-10-01
boca raton,Palm Beach,FL,12099,2016-10-01
canton,Cherokee,GA,13057,2016-10-01
carlsbad,San Diego,CA,06073,2016-10-01
east garden city,Nassau,NY,36059,2016-10-01
newton,Middlesex,MA,25017,2016-10-01
holmdel,Monmouth,NJ,34025,2016-10-01
indio,Riverside,CA,06065,2016-10-01
ann arbor,Washtenaw,MI,26161,2016-10-01
larkspur,Marin,CA,06041,2016-10-01
littleton,Arapahoe,CO,08005,2016-10-01
mount pleasant,Charleston,SC,45019,2016-10-01
san diego,San Diego,CA,06073,2016-10-01
sandy,Salt Lake,UT,49035,2016-10-01
sharon,Norfolk,MA,25021,2016-10-01
wellesley,Norfolk,MA,25021,2016-10-01
west palm beach,Palm Beach,FL,12099,2016-10-01
wildomar,Riverside,CA,06065,2016-10-01
albuquerque,Bernalillo,NM,35001,2016-11-01
asheville,Buncombe,NC,37021,2016-11-01
atlanta,Fulton,GA,13121,2016-11-01
auburn,Rockingham,NH,33015,2016-11-01
austin,Travis,TX,48453,2016-11-01
bloomfield hills,Oakland,MI,26125,2016-11-01
burke,Fairfax,VA,51059,2016-11-01
center valley,Lehigh,PA,42077,2016-11-01
cherry hill,Camden,NJ,34007,2016-11-01
colrain,Franklin,MA,25011,2016-11-01
conifer,Jefferson,CO,08059,2016-11-01
denver,Denver,CO,08031,2016-11-01
detroit,Wayne,MI,26163,2016-11-01
billerica,Middlesex,MA,25017,2016-11-01
gainesville,Alachua,FL,12001,2016-11-01
hewlett,Nassau,NY,36059,2016-11-01
houston,Harris,TX,48201,2016-11-01
la jolla,San Diego,CA,06073,2016-11-01
leesburg,Loudoun,VA,51107,2016-11-01
livingston,Essex,NJ,34013,2016-11-01
long beach,Los Angeles,CA,06037,2016-11-01
new york,New York,NY,36061,2016-11-01
marietta,Cobb,GA,13067,2016-11-01
middletown,Middlesex,CT,09007,2016-11-01
milwaukee,Milwaukee,WI,55079,2016-11-01
minneapolis,Hennepin,MN,27053,2016-11-01
minnetonka,Hennepin,MN,27053,2016-11-01
needham,Norfolk,MA,25021,2016-11-01
newton,Middlesex,MA,25017,2016-11-01
omaha,Douglas,NE,31055,2016-11-01
palm desert,Riverside,CA,06065,2016-11-01
philadelphia,Philadelphia,PA,42101,2016-11-01
port washington,Nassau,NY,36059,2016-11-01
queens,Queens,NY,36081,2016-11-01
salt lake city,Salt Lake,UT,49035,2016-11-01
sharon,Norfolk,MA,25021,2016-11-01
sparta,Sussex,NJ,34037,2016-11-01
staten island,Richmond,NY,36085,2016-11-01
steamboat springs,Routt,CO,08107,2016-11-01
stoughton,Norfolk,MA,25021,2016-11-01
